"BibNumber","MinutesStartAfterNine","FinishMinutes"
1475,60.72,174.12
1476,60.78,NA
1477,61,169.33
1478,60.57,171.07
1479,110.17,212.02
1480,61.08,167.83
1483,60.92,185.55
1484,84.28,203.61
1485,60.55,173.65
1486,60.7,180.18
1487,60.95,170.65
1488,60.6,166.94
1489,61.83,167.66
1490,60.7,192.51
1491,60.92,171.32
1492,62.08,174.04
1494,60.62,189.26
1495,60.98,156.99
1498,61.1,178.94
1499,60.53,171.67
1500,60.87,177.09
1501,60.53,NA
1503,60.85,172.81
1505,60.48,177.48
1506,61.08,177.41
1508,60.67,175.5
1509,60.95,201.55
1511,60.6,172.46
1512,60.9,180.47
1513,60.52,172.58
1514,65.77,246.56
1515,60.7,175.88
1516,60.92,179.49
1517,60.58,183.05
1518,60.83,172.53
1519,60.62,NA
1521,60.83,183.7
1522,60.77,181.81
1523,60.55,169.33
1524,60.53,167.22
1525,60.9,160.41
1526,61.03,186.44
1527,60.7,178.18
1528,61.05,197.96
1529,60.68,181.7
1530,60.92,180.9
1533,60.63,176.3
1534,60,198.91
1535,60.73,176.17
1536,60.92,170.27
1537,60.95,180.47
1538,60.68,217.13
1539,60.7,178.83
1541,60.93,178.23
1543,60.55,176.88
1545,60.43,154.85
1546,60.77,175.08
1547,60.85,179.49
1548,60.95,190.09
1549,60.63,180.07
1550,60.63,190.19
1553,60.53,178.2
1554,60.73,167.31
1555,65.07,186.13
1557,60.43,179.47
1558,60.82,162.91
1559,60.85,200.79
1560,60.5,170.75
1561,60.65,168.14
1562,60.88,180.19
1563,60.93,173.27
1565,60.52,183.67
1566,60.67,181.67
1569,60.6,190.46
1570,60.82,181.27
1573,60.82,181.04
1574,60.88,167.7
1575,61.03,208.83
1576,60.6,189.82
1577,60.77,174.41
1578,60.55,171.81
1579,60.68,169.52
1580,60.72,180.6
1581,60.62,166.32
1582,60.57,172.69
1583,60.75,165.58
1584,60.93,172.64
1585,60.97,175.44
1586,60.97,166.19
1587,60.73,177
1588,60.57,162.45
1589,60.78,172.47
1590,60.9,169.03
1591,60.65,167.81
1592,61.03,173.34
1594,61.08,168.38
1595,60.88,184.01
1597,60.75,209.66
1598,60.97,180.58
1599,60.55,171.79
1600,60.73,174.73
1601,60.92,188.61
1602,60.78,179.67
1603,60.62,176.9
1604,60.75,176.93
1606,60.95,182.65
1608,60.73,176.21
1610,60.82,178.17
1611,60.63,169.41
1612,60.53,172.54
1613,60.72,180.8
1614,60.52,197.32
1615,60.58,169.74
1616,60.55,188.99
1617,60.62,198.51
1618,61.08,175.96
1619,61.02,186.45
1620,62.08,175.79
1621,60.53,177.63
1622,60.83,180.48
1623,60.67,169.8
1624,60.85,179.4
1625,60.67,168.26
1626,60.48,170.46
